capcom_generations_1 SLUS-01432
capcom_generations_2 SLUS-01433
capcom_generations_4 SLUS-01434
capcom_vs_snk_millennium_fight_2000_pro SLUS-01476
card_games SLUS-01379
cardinal_syn SCUS-94156
carnage_heart SCUS-94604
cart_world_series SCUS-94416
casper SLUS-00162
casper_friends_around_the_world SLUS-01245
castlevania_symphony_of_the_night SLUS-00067
castlevania_chronicles SLUS-01384
castrol_honda_superbike_racing SLUS-00882
cat_in_the_hat SLUS-01579
centipede SLUS-00807
championship_bass SLUS-01084
championship_motocross_featuring_ricky_carmichael SLUS-00790
championship_motocross_2001_ricky_carmichael SLUS-01230
championship_surfer SLUS-01216
chesmaster_3d SLUS-00052
chess SLUS-01400
chessmaster_ii SLUS-00886
chicken_run SLUS-01304
chocobo_racing SLUS-00844
chocobos_magical_dungeon_2 SLUS-00814
chronicles_of_the_sword SCUS-94700
chrono_cross SLUS-01041
circuit_breakers SLUS-00697
city_of_lost_children SCUS-94150
civilization_ii SLUS-00792
clay_fighter_extreme SLUS-00286
cleopatras_fortune SLUS-01491
clock_tower SLUS-00539
clock_tower_2_the_struggle_within SLUS-00695
codename_tenka SCUS-94409
colin_mcrae_rally SCUS-94474
colin_mcrae_rally_20 SLUS-01222
college_slam SLUS-00196
colony_wars SLUS-00543
colony_wars_vengeance SLUS-00722
colony_wars_3_red_sun SLUS-00866
command_&_conquer SLUS-00379
command_&_conquer_red_alert SLUS-00431
command_&_conquer_red_alert_retaliation SLUS-00665
contender SCUS-94294
contender_2 SCUS-94494
contra_legacy_of_war SLUS-00288
cool_boarders_extreme_snowboarding SCUS-94356
cool_boarders_2 SCUS-94358
cool_boarders_2001 SCUS-94597
cool_boarders_3 SCUS-94251
cool_boarders_4 SCUS-94559
countdown_vampires SLUS-00898
courier_crisis SLUS-00442
covert_ops_nuclear_dawn SLUS-01151
crash_bandicoot SCUS-94900
crash_bandicoot_2_cortex_strikes_back SCUS-94154
crash_bandicoot_3_warped SCUS-94244
crash_bash SCUS-94570
crash_team_racing SCUS-94426
creatures SLUS-01438
creatures_raised_in_space SLUS-01553
crime_killer SLUS-00576
critical_depth SLUS-00428
criticom SLUS-00046
croc_legend_of_the_gobbos SLUS-00530
croc_2 SLUS-00634
crossroad_crisis SLUS-01342
crusader_no_remorse SLUS-00268
crusaders_of_might_and_magic SLUS-00799
crypt_killer SLUS-00335
cubix_robots_for_everyone_racen_robots SLUS-01422
cyber_sled SLUS-00008
cyber_speed SLUS-00116
cyberia SLUS-00053
cybertiger_golf SLUS-01004
d SLUS-00128
dance_dance_revolution_disney_mix SLUS-01281
dance_dance_revolution_konamix SLUS-01446
dance_dance_revolution_usa_mix SLUS-01280
danger_girl SLUS-00881
dare_devil_derby_3d SLUS-00300
darklight_conflict SLUS-00457
darkstalkers_the_night_warriors SLUS-00036
darkstalkers_3_jedahs_damnation SLUS-00745
darkstone_evil_reigns SLUS-01182
dave_mirra_freestyle_bmx SLUS-01026
dave_mirra_freestyle_bmx_maximum_remix SLUS-01347
david_beckham_soccer SLUS-01455
dead_ball_zone SLUS-00658
dead_in_the_water SLUS-00693
dead_or_alive SLUS-00606
deathtrap_dungeon SLUS-00566
deception_iii_dark_delusion SLUS-01067
defcon_5_peace_has_a_price SLUS-00009
delta_force_urban_warfare SLUS-01429
demolition_racer SLUS-00969
descent SLUS-00037
descent_maximum SLUS-00460
destrega SLUS-00732
destruction_derby SCUS-94302
destruction_derby_2 SCUS-94350
destruction_derby_raw SLUS-00912
devil_dice SLUS-00672
dexters_laboratory_mandarks_lab SLUS-01421
diablo SLUS-00169
die_hard_trilogy SLUS-00119
die_hard_trilogy_2 SLUS-01015
digimon_digital_card_battle SLUS-01328
digimon_rumble_arena SLUS-01404
digimon_world SLUS-01032
digimon_world_2 SLUS-01193
digimon_world_3 SLUS-01436
dino_crisis SLUS-00922
dino_crisis_2 SLUS-01279
dirt_jockey_heavy_equipment_operator SLUS-01552
discworld SCUS-94600
discworld_ii_mortality_bytes! SCUS-94605
disney_world_quest_magical_racing_tour SLUS-01106
disneys_101_dalmations_ii_patchs_london_adventure SLUS-01574
disneys_a_bugs_life SCUS-94288
disneys_aladdin_nasiras_revenge SCUS-94569
disneys_atlantis_the_lost_empire SCUS-94636
disneys_buzz_lightyear_of_star_command SLUS-01192
disneys_dinosaur SLUS-01167
disneys_goofys_fun_house SLUS-01209
disneys_hercules SLUS-00529
disneys_lilo_&_stitch SCUS-94646
disneys_mulan_story_studio SLUS-01038
disneys_peter_pan_in_return_to_neverland SCUS-94643
disneys_poohs_party_game_in_search_of_the_treasure SLUS-01437
disneys_tarzan SCUS-94456
disneys_the_emperors_new_groove SCUS-94571
disneys_the_jungle_book_rhythm_n_groove_party SLUS-01278
disneys_the_lion_king_ii_simbas_mighty_adventure SLUS-01282
disneys_the_little_mermaid_ii SLUS-01286
disneys_the_road_to_el_dorado_gold_&_glory SLUS-01312
disneys_toy_story_2_buzz_lightyear_to_the_rescue SLUS-00893
disneys_toy_story_racer SLUS-01214
disneys_treasure_planet SCUS-94647
disruptor SLUS-00224
donald_duck_goin_quackers SLUS-01242
doom SLUS-00077
dora_the_explorer_barnyard_buddies SLUS-01576
dracula_the_resurrection SLUS-01284
dracula_2_the_last_sanctuary SLUS-01440
dragon_seeds SLUS-00734
dragon_tales_dragon_seek SLUS-01176
dragon_valor SLUS-01092
dragon_warrior_vii SLUS-01206
dragonball_gt_final_bout SLUS-00493
dragonball_z_ultimate_battle_22 SLUS-01550
dragonheart_fire_&_steel SLUS-00226
driver_you_are_the_wheelman SLUS-00842
driver_2 SLUS-01161
ducati_world SLUS-01025
duke_nukem_land_of_the_babes SLUS-01002
duke_nukem_time_to_kill SLUS-00583
duke_nukem_total_meltdown SLUS-00355
dukes_of_hazzard SLUS-00859
dukes_of_hazzard_ii_daisy_dukes_it_out SLUS-01243
dune_2000 SLUS-00973
dynasty_warriors SLUS-00438
eagle_one_harrier_attack SLUS-00943
easter_bunnys_big_day SLUS-01551
echo_nights SLUS-00820
ecw_hardcore_revolution SLUS-01045
ecw_anarchy_rulz SLUS-01169
eggs_of_steel SLUS-00751
ehrgeiz_god_bless_the_ring SLUS-00809
einhander SCUS-94243
elemental_gearbolt SLUS-00654
eliminator SLUS-00699
elmos_letter_adventure SLUS-00621
elmos_number_journey SLUS-00622
epidemic SCUS-94152
equestrian_showcase SLUS-01462
espn_mls_gamenight SLUS-01186
espn_x_games_proboarder SLUS-00704
et_the_extra_terrestrial_interplanetary_mission SLUS-01385
eternal_eyes SLUS-01034
evil_dead_hail_to_the_king SLUS-01072
evil_zone SLUS-00855
excalibur_2555_ad SLUS-00541
expendable SLUS-01075
extreme_go_kart_racing SLUS-01530
extreme_pinball SLUS-00200
f1_2000 SLUS-01120
f1_racing_championship SLUS-01088
f1_world_grand_prix SLUS-01036
f1_world_grand_prix_2000 SLUS-01344
fade_2_black SLUS-00236
family_card_game_fun_pak SLUS-01454
family_feud SLUS-01171
family_game_pack SLUS-01049
fantastic_four SLUS-00395
fatal_fury_wild_ambition SLUS-01001
fear_effect SLUS-00920
fear_effect_2_retro_helix SLUS-01266
felony_11_79 SLUS-00533
fifa_road_to_world_cup_98 SLUS-00520
fifa_2000_major_league_soccer SLUS-00994
fifa_2001_major_league_soccer SLUS-01262
fifa_2002 SLUS-01408
fifa_96 SLUS-00038
fifa_99 SLUS-00782
fifa_soccer_2003 SLUS-01504
fifa_soccer_2004 SLUS-01578
fifa_soccer_2005 SLUS-01585
