Buster Fight (Japan).gg	262144	A72A1753	A729ED9B55FD8496B807D39C3BB9299E
CJ Elephant Fugitive (Europe).gg	262144	72981057	30D140CBA0604578382CFF96ACA09F78
Caesars Palace (USA).gg	262144	C53B60B8	BAE2D6EB22802A56C17F9BD67E3C892E
Captain America and the Avengers (USA, Europe).gg	262144	5675DFDD	DFB20211EF127B605849ABFD85300AFC
Car Licence (Japan).gg	524288	F6A697F8	93EE0C56D725DAA0A79DCE458FF54E5E
Casino Funpak (USA).gg	262144	2B732056	3072B95CAFF526A8A7A7B7F9A23F9383
Castle of Illusion Starring Mickey Mouse (USA, Europe).sms	262144	59840FD6	16B6EA96908C17D4389A5907710A0F4E
Cave Dude (USA) (Proto).sms	262144	CC521975	933770B934E2F4EB2B6E3918F0955D40
Chakan (USA, Europe).gg	262144	DFC7ADC8	096E525C29AF9F5A0A0DDD8B67DD8FBF
Championship Hockey (Europe).gg	262144	E21D2A88	4E50AB4ACE12827B73AC23C47AAF9B85
Cheese Cat-Astrophe Starring Speedy Gonzales (Europe) (En,Fr,De,Es).gg	524288	4E78FD36	63AF90497BDAC40CE4217C5133037A51
Chessmaster, The (USA, Europe).gg	131072	DA811BA6	B24D5C5548ACB3B35AAF02802B3BB7D5
Chicago Syndicate (USA, Europe).gg	524288	6B0FCEC3	A51438E3BA8C78DF665DF05B6310A38A
Choplifter III (USA).gg	262144	C2E8A692	E7B6F5ACB7D5683384934E00C2C7FA09
Chuck Rock (World) (Beta).gg	262144	CB3A1D23	D34E94DC571D7782283ABB1CC5A36C7A
Chuck Rock (World).gg	262144	191B1ED8	86A3221D3D74133C84F658939FD6E928
Chuck Rock II - Son of Chuck (Europe).gg	262144	656708BF	8346EE6A9687FCAF3CA3714D55CE6E9F
Chuck Rock II - Son of Chuck (USA).gg	262144	3FCC28C9	BB6558532D5EDA87C93D7FE8EB8EE24C
Cliffhanger (USA).gg	262144	BF75B153	F03AD48294C095032909B6BA8F0E365F
Clutch Hitter (USA).gg	131072	D228A467	DABA20A2E2ACC99CD7824CA9DE42AF46
Coca-Cola Kid (Japan).gg	524288	C7598B81	DBEDE5C20828E3D251B05356D9176C79
Columns (Japan) (En) (Rev 1).gg	32768	AC37E092	36B33D28235B4C9439AB0F62AB1C97C4
Columns (Japan) (En).gg	32768	F3CA6676	680682AAA9B7EAE0642E4B9C4EF80F59
Columns (USA, Europe).gg	32768	83FA26D9	90BD4681E3E4B07445EAF35E83B223DB
Cool Spot (Europe).gg	262144	BA0714DB	1EE49B56F0C349CC63EB0A60602F160E
Cool Spot (USA).gg	262144	2C758FC8	7F55C7E4696A9AD316E57C3F14A77F39
Cosmic Spacehead (Europe).gg	262144	6CAA625B	0AD508B2A076990B49AE2BCDA0F1E9E7
Crayon Shin-chan - Taiketsu! Kantam Panic!! (Japan).gg	524288	03D28EAB	41EEC91E3C4E546D93053F2C234517A6
Crazy Faces (Unknown) (Proto).gg	131072	46AD6257	0336BD86C59096A6B9A069EC0DDD94B2
Crystal Warriors (USA, Europe).gg	262144	529C864E	35D3FC09FCF22E35DB4BAC8CEE9967F3
Cutthroat Island (USA, Europe) (Beta).gg	524288	6352EF00	C63C221F388D25B51CB9DFA37D1AC91A
Cutthroat Island (USA, Europe).gg	524288	6A24E47E	AB8C20389ABE4EE0026D63B9294BFCC0
Daffy Duck in Hollywood (Europe) (En,Fr,De,Es,It).gg	524288	AAE268FC	1B079DED7729472B4F4039612C3112F2
Deep Duck Trouble Starring Donald Duck (USA, Europe).gg	524288	5A136D7E	CD792CF0D4E8EBB6F77A906AC0744B66
Defenders of Oasis (USA, Europe) (Beta).gg	262144	C674ECCC	503E2946DCF3CBA80A7264EBC4793AFD
Defenders of Oasis (USA, Europe).gg	524288	E2791CC1	8430050C60DB46B3887CF7D7CF2F206F
Desert Speedtrap Starring Road Runner and Wile E. Coyote (Europe) (En,Fr,De,Es,It).gg	262144	EC808026	91AF8B30E432D8EACF1F4A0670DDF84F
Desert Speedtrap Starring Road Runner and Wile E. Coyote (USA).gg	262144	C2E111AC	5C6C0FD3D95F74B03D084DDED29C6BCB
Desert Strike (Europe) (En,Fr,De,Es).gg	524288	3E44ECA3	A5D8F63BDA80B2D0CF587655A389AE4C
Desert Strike - Return to the Gulf (USA).gg	524288	F6C400DA	ECFCB1F193AB20547E3DC1F4304EF21E
Devilish (Europe).gg	131072	D43AC6C5	E3DDA1FE814C22C102F0714D48D27DE6
Devilish (Japan).gg	131072	25DB174F	BC3B402B546B9561C79E3373AEE97A9C
Devilish (USA).gg	131072	C01293B0	F0CEED28D0E83BC4ADC688D06D12BF2E
Donald Duck no 4-Tsu no Hihou (Japan).gg	524288	4457E7C0	73137355568815F9B5D75CCD5557B203
Donald Duck no Lucky Dime (Japan).gg	262144	2D98BD87	D2930D3316E293700D2CEDC4125CB9A3
Donald no Magical World (Japan) (En,Ja).gg	524288	87B8B612	34E9B284E61FB9A2CAD4878451579295
Doraemon - Noranosuke no Yabou (Japan).gg	262144	9A8B2C16	E768A7C45F8EA390D6091032FDF6DCBE
Doraemon - Waku Waku Pocket Paradise (Japan).gg	524288	733292A6	5DAE999E98312E4CB5962041DDEA351F
Double Dragon (USA, Europe) (Beta).gg	262144	331904C0	662D42206945815AE7ACF13E406EFD9B
Double Dragon (USA, Europe).gg	262144	1307A290	B45D73E40CE8F6E76DCED24EE921871A
Dr. Franken (Unknown) (Proto).gg	131072	C9907DCE	8FDBA752802F09CFA1583BF0192E3554
Dr. Robotnik's Mean Bean Machine (USA, Europe).gg	262144	3C2D4F48	6565DDCB2E41BF9CE5771A62D30AA700
Dragon - The Bruce Lee Story (Europe).gg	262144	19E1CF2B	C1473DFB6C51FBBC0632FE60D8438FFC
Dragon - The Bruce Lee Story (USA).gg	262144	17F588E8	81E7BEA1C445540544002A5CCF91FE3C
Dragon Crystal (USA, Europe).gg	131072	0EF2ED93	8431BACCD169025F79C9CBC44E31622D
Dragon Crystal - Tsurani no Meikyuu (Japan).gg	131072	89F12E1E	DA0B9E94FFB9C3930501C7A7A90FBF18
Dropzone (Europe).gg	131072	152F0DCC	65DF09530F9C8F02AB11982228D7D18E
Dunk Kids (Japan).gg	524288	77ED48F5	1D1C50CDBFE605A37D5DCF1250A951DF
Dynamite Headdy (Japan).gg	524288	F6AF4B6B	79A0D819E9CDDEBCB80E28A174FF2005
Dynamite Headdy (USA, Europe).gg	524288	610FF95C	2DA61F019F30EB0795CFD6EB9D5B54C6
Earthworm Jim (Europe).gg	524288	691AE339	E35A0B3D9A4A3BB6B2E72FAB5A8C1712
Earthworm Jim (USA).gg	524288	5D3F23A9	C25AF3925FD6973AF62BDD6D0C5F61CA
Ecco - The Tides of Time (USA, Europe).gg	524288	E2F3B203	8F8CBAEF1A8E1BECFCC7F07B134A3D83
Ecco the Dolphin (Japan).gg	524288	A32EB9D5	A506FC04C7A0DFAF37423FF0A38AEB2E
Ecco the Dolphin (USA, Europe).gg	524288	866C7113	CCD970B22303887734FAFB8E45B1E43F
Ecco the Dolphin II (Japan).gg	524288	BA9CEF4F	E4E654AA1730565220120844DAD6B444
Ernie Els Golf (Europe) (En,Fr,De,Es,It).gg	262144	5E53C7F7	E97C20B86EA73248CC7AED602D46C3A4
Eternal Legend - Eien no Densetsu (Japan).gg	262144	04302BBD	C58D6291DA8A4919328B8F42BE8640A7
