Adventures of Mighty Max, The (Europe).sfc	1048576	62A7C74B	DCA672428CF983FA0A79AB9EC3B04285	
Adventures of Rocky and Bullwinkle and Friends, The (USA).sfc	1048576	DC8F5734	6208ADE9F0FD83AE407179509B4C976D	
Adventures of Yogi Bear (USA).sfc	1048576	7448D45C	4E974BB549016F59A807B7D11240FB37	
Adventures of the Rocketeer, The (Japan).sfc	1048576	CBC4868E	6CA90233DF9291530FD3676C05D0E6FD	
Aero Fighters (USA).sfc	1310720	F194D00A	510B850D22A6F3D67CCBFDD979501943	
Aero the Acro-Bat (Europe).sfc	1048576	FA0CE63A	9FA0CE0D6915E6FB1A25A44E1D9221D4	
Aero the Acro-Bat (USA).sfc	1048576	919F23CB	055FB50B90EA0EF5946CBC191F3D2900	
Aero the Acro-Bat 2 (Europe).sfc	2097152	242B8181	8CDAE9F521E26EBECDFF4148AD3D0C88	
Aero the Acro-Bat 2 (USA).sfc	2097152	8C05ED51	85B449F98AF752E3255A256B6A89BB16	
Aerobiz (USA).sfc	1048576	54302A46	B51BBAA7644DD8B432A66D11352E9C68	
Aerobiz Supersonic (USA).sfc	1048576	EFAFAB12	6C0DF9CA9F3F05141C5DF69E7AD4D004	
Aging Cassette (Japan).sfc	131072	55938E4E	55B2A79C117F03079A75F51A89990CA0	
Aguri Suzuki F-1 Super Driving (Europe).sfc	1048576	C8382F39	E34B50CCFAA8416E5B8F2A810EA6E9B3	
Air Cavalry (Europe).sfc	1048576	B3F57CC6	444A1CA2373FD295248C18B42E2E3079	
Air Cavalry (USA).sfc	1048576	6B452801	B8FA02456B70F529AFA265B2BA3D189F	
Air Management - Oozora ni Kakeru (Japan) (Rev 1).sfc	1048576	A533BC97	6463A3CBEEE3E79F2C65879876C4556D	
Air Management - Oozora ni Kakeru (Japan).sfc	1048576	F6643226	36457512DD505702A81650D4620A5D3E	
Air Management II - Koukuu Ou o Mezase (Japan).sfc	1048576	8D0B3C85	DE95BFE76698734526AB5A4B60AF4B59	
Akagawa Jirou - Majotachi no Nemuri (Japan) (Rev 1) (NP).sfc	3145728	EE62AA7E	EBE0725659DA9AE5BE01E472E849BAAB	
Akagawa Jirou - Majotachi no Nemuri (Japan).sfc	3145728	167E4C15	B166FC0F75E2EEF5E28CCF542A7CB355	
Akazukin Chacha (Japan).sfc	1572864	EEF47B5E	0D3E54C3867BDF7AF482BB0A991583D7	
Akumajou Dracula (Japan).sfc	1048576	EDA59A2A	3470065E780B127323DA7BF950306F9E	
Akumajou Dracula XX (Japan).sfc	2097152	0AA75FA8	8633F40194D4EF61458AB8C24C14DBB5	
Al Unser Jr.'s Road to the Top (Europe).sfc	1048576	4CF5D45F	F086B3C1C0B2DDE6963D254F4CDF7EF2	
Al Unser Jr.'s Road to the Top (USA).sfc	1048576	D0550624	48B9B7110373B958128B41DAEEBF45FB	
Aladdin (Europe).sfc	1310720	44FF6E78	4D426A7ED36CD7EF896E31CDD48ED24E	
Aladdin (France).sfc	1310720	63069939	61A86AEE5792EAF64A04BCB30257D985	
Aladdin (Germany).sfc	1310720	A7AD3E5D	01AA89137B747DC68E108234B4973AFA	
Aladdin (Japan).sfc	1310720	1AEB696B	12DA508B745C4402641DDC95028FD677	
Aladdin (Spain).sfc	1310720	90EE8C61	6B09F8C51E5C989D950F9510F1F73224	
Aladdin (USA) (Beta).sfc	1310720	52FDFAB4	2CC20404E20FAB848612FFF369E5C3C7	
Aladdin (USA).sfc	1310720	124D8E4D	8E00910312B30663768D907114D301C2	
Albert Odyssey (Japan).sfc	1048576	46CA01A9	8822EB60EC69EDE557C3294BAE005B32	
Albert Odyssey 2 - Jashin no Taidou (Japan).sfc	2097152	1B6ADD7B	17EE32DB6DE1524535D2F2E995380F70	
Alcahest (Japan).sfc	1048576	870427D0	092CAAE4772502499B43F2F026DAA0A5	
Alfred Chicken (Europe).sfc	1048576	E344627B	84EC7562B5D178951A60F85E79D3AE3E	
