007 - The World Is Not Enough (USA)	
3D Lemmings (USA) (Track 21).bin	15375024	ae7ef886	afd2d58b0c4c64f833b701aaf39ddb6e	
3D Lemmings (USA) (Track 22).bin	12792528	266c2120	3ff98f092840e3b1ebbdcb124bd79c51	
3D Lemmings (USA) (Track 23).bin	11089680	3402228c	8fa3520e0b8532cb5ee101bdad582dd9	
3D Lemmings (USA) (Track 24).bin	11089680	3402228c	8fa3520e0b8532cb5ee101bdad582dd9	
3D Lemmings (USA).cue	2670	b394a6d2	87184bd80a9dfbf00d7ae94b69c152b9	
3Xtreme (USA)	
3Xtreme (USA) (Track 1).bin	340649568	c16782c6	cb9531f57344c64b6d4596e2d974f9ca	
3Xtreme (USA) (Track 2).bin	26732832	efb07e5e	a38b3b88c2f359fa7b57a0c490572904	
3Xtreme (USA).cue	196	a689937f	45c7c5f2519f9dcea760c4cd1c098ee4	
40 Winks (USA)	
40 Winks (USA).bin	540854160	5b53f0a5	355e1fed8e13a751b82a7b8e67d53716	
40 Winks (USA).cue	80	1d060c48	9c26456a7f58a1417ae096f4d0985e6c	
A-Train - Trains, Power, Money (USA) (En,Ja,Fr,De)	
A-Train - Trains, Power, Money (USA) (En,Ja,Fr,De) (Track 1).bin	46277952	6daf2c73	90c7944596cbccdffe9bb66e436a8a5f	
A-Train - Trains, Power, Money (USA) (En,Ja,Fr,De) (Track 2).bin	2718912	6aa850d0	0ae1a7cf308c5e62fd667ad5a8c335d7	
A-Train - Trains, Power, Money (USA) (En,Ja,Fr,De) (Track 3).bin	1921584	19dbfa70	2ea53cf48d4a801053161265b4ab75eb	
A-Train - Trains, Power, Money (USA) (En,Ja,Fr,De) (Track 4).bin	1900416	f00fa27e	861821dc5a35ae9383cf6f6769548c96	
A-Train - Trains, Power, Money (USA) (En,Ja,Fr,De) (Track 5).bin	2733024	c1df5352	3bb99054b6154c743561bc14cfaf176f	
A-Train - Trains, Power, Money (USA) (En,Ja,Fr,De) (Track 6).bin	2737728	c4a8d40a	850a9976ba6d01481da0f89156474300	
A-Train - Trains, Power, Money (USA) (En,Ja,Fr,De) (Track 7).bin	37874256	5de84afb	2f6004f968e4bc686ba7ad6392b62dd8	
A-Train - Trains, Power, Money (USA) (En,Ja,Fr,De).cue	990	672ea3e6	4a0d7bc372970bd9b52b3437a79e8916	
Ace Combat 2 (USA)	
Ace Combat 2 (USA).bin	580760544	852e5ded	17803a9608ac2839ef89812f3714bfe0	
